"Private"	"Apps"	"Accept"	"Enroll"	"Top10perc"	"Top25perc"	"F.Undergrad"	"P.Undergrad"	"Outstate"	"Room.Board"	"Books"	"Personal"	"PhD"	"Terminal"	"S.F.Ratio"	"perc.alumni"	"Expend"	"Grad.Rate"
"East Tennessee State University"	"No"	8.11072758297449	7.91205688817901	1303	15	36	8.81075792702617	7.87853419614036	8.66561319653451	8.00636756765025	6.39692965521615	7.69621263934641	73	75	14	9	9.19268543673746	42
"Eastern Connecticut State University"	"No"	7.68340368105383	7.30854279753919	564	14	50	7.9251575122247	7.33367639565768	8.69316127423802	8.37008432637803	6.47697236288968	6.21460809842219	71	76	16.9	14	8.65154924391532	50
"Eastern Illinois University"	"No"	8.62998601889136	8.35537989525363	1565	12	38	9.12271062201521	6.73933662735717	8.64997430265006	8.02812905943176	4.78749174278205	7.45587668749182	62	71	16.2	5	8.64505856241413	76
"Emporia State University"	"No"	7.13568734702814	7.13568734702814	853	43	79	8.28324144138542	6.37672694789863	8.59433940059289	8.0532511535491	6.10924758276437	7.54327334670545	72	75	19.3	4	8.61740045183326	50
"Evergreen State College"	"No"	7.49609734517596	7.00397413672268	438	14	50	8.02780284837031	5.89440283426485	8.74782860848874	8.43381158247719	6.39692965521615	7.18765716411496	75	78	18.1	14	9.03061544102949	68
"Fayetteville State University"	"No"	7.28276117960559	6.96979066990159	452	1	16	7.87549929244521	6.42486902390539	8.82555985506085	7.84384863815247	5.85793315448346	6.64118216974059	75	75	15.1	10	8.84965740663991	24
"Florida International University"	"No"	8.10349427838097	7.63964228785801	1071	42	89	9.23092700558457	9.13884437027111	8.79437027922287	7.82164312623998	6.68461172766793	8.01565761455734	81	96	13.9	20	8.81314100828505	66
"Florida State University"	"No"	9.36314729221994	9.06912237006065	3023	50	90	9.84723461098533	8.08394570229562	8.80687326653069	8.30893825259578	6.39692965521615	6.92755790627832	80	89	23.1	15	8.88875674784872	58
"Fort Lewis College"	"No"	8.14322675036744	7.94555542825349	1123	16	35	8.2409125416889	6.18620862390049	8.73198193834769	8.10772006191053	6.21460809842219	7.82404601085629	89	97	19.1	6	8.38068594676157	46
"Francis Marion University"	"No"	7.49609734517596	7.41155628781116	819	13	38	8.07837810362652	6.07764224334903	8.67248607582227	8.05134093329298	5.99146454710798	7.79564653633459	76	76	19.1	8	8.5249629286806	43
"George Mason University"	"No"	8.63994165667529	8.372398606513	1727	17	29	9.16199011103514	8.24852912480022	9.28730141311231	8.48466999971068	6.36302810354046	6.95654544315157	93	96	19.3	7	8.81744592104187	46
"Georgia Institute of Technology"	"No"	8.96661138705286	8.41781474743596	2276	89	99	9.05111014640562	6.4831073514572	8.77786371462117	8.39795910349254	6.67834211465433	7.05961762829138	92	92	19.3	33	9.32998833424208	70
"Georgia State University"	"No"	8.2409125416889	7.75833346749091	1238	9	24	8.95312284032822	9.1109619279959	8.81640849968169	7.88419993367604	6.5792512120101	8.14612951002541	87	89	19	10	8.95699531192885	34
"Grand Valley State University"	"No"	8.54966038155374	8.26539293085222	1561	20	60	9.01602720232985	7.87054784450771	8.71735466633852	8.24275634571448	6.21460809842219	6.90775527898214	64	66	20.6	9	8.52971447196991	57
"Illinois State University"	"No"	9.06889200839181	8.80911625812527	2408	10	35	9.66147968357552	7.50823877467866	8.9617507993305	8.13241267450091	6.28599809450886	7.86518795418747	77	84	21	16	8.62497078358967	54
"Indiana State University"	"No"	8.64100247714252	8.46821300919452	3147	10	31	9.0590522577624	7.57507169950756	8.83811659764782	8.21770840684531	6.39692965521615	7.82404601085629	72	76	16.6	8	8.85309383613849	40
"Indiana University at Bloomington"	"No"	9.71637453500604	9.49122438992696	5873	25	72	10.1171058826253	7.90728360942635	9.1866622446216	8.29154650988391	6.39692965521615	7.60090245954208	77	88	21.3	24	9.06946781309477	68
"Iowa State University"	"No"	9.03919611577235	8.91247327446604	3441	26	59	9.83499455609083	7.44716835960004	8.92930284224307	8.07837810362652	6.46146817635372	7.62803112693033	81	88	19.2	22	9.03836510723637	65
"James Madison University"	"No"	9.32572052301626	8.57262789830434	2082	32	72	9.17492042674492	6.60934924316738	8.98644653927127	8.42156296040099	6.21460809842219	6.59578051396131	77	81	17.9	29	8.55871893824474	98
"Jersey City State College"	"No"	7.99193051985248	7.26052259808985	691	10	30	8.24722005274523	7.23993259132047	8.28045768658256	8.47637119689598	5.99146454710798	7.3132203870903	63	67	14.9	10	9.0320506762956	26
"Johnson State College"	"No"	6.72503364216684	6.50578406012823	279	3	13	7.10987946307227	5.84354441703136	8.94324493313279	8.45318786144033	6.21460809842219	6.43615036836943	80	91	14.4	15	8.78935545220998	36
"Kansas State University"	"No"	8.67931204089267	8.31262602567496	2833	25	55	9.61005564810374	7.71690613529839	8.85295088709958	8.04558828080353	6.39692965521615	7.60090245954208	76	86	18.5	22	8.71964411950536	54
"Keene State College"	"No"	8.04590874227078	7.80220931624712	822	5	19	8.15478757276852	6.65415252018322	8.97081334141145	8.33254893925264	6.21460809842219	7.0475172213573	73	73	16.1	13	8.73149779406324	61
"Lamar University"	"No"	7.75619534394812	7.45298232946546	1043	10	27	8.60116662519242	8.30844552038576	8.46632086104248	8.01961279440027	6.23048144757848	7.28824440102012	48	82	18.4	12	8.67914195840225	26
"Lander University"	"No"	7.06133436691044	6.91671502035361	510	9	33	7.63723438878947	5.83188247728352	8.50471566990512	8.00202481821611	6.26909628370626	7.43955930913332	67	77	17	11	8.71915396346254	51
"Lincoln University"	"No"	7.41457288135059	6.99484998583307	326	15	41	7.08673793451058	3.49650756146648	8.48011418317482	8.13153071060425	5.85793315448346	7.24422751560335	71	72	12.6	8	9.29761838008324	45
"Lock Haven University of Pennsylvania"	"No"	8.18032087477368	7.70300768247924	651	17	41	8.1285852003745	5.78382518232974	8.90272766403552	8.19422930481982	5.41610040220442	6.21460809842219	47	55	16.1	14	8.75998249497728	63
"Longwood College"	"No"	7.91826468609527	7.53369370984863	724	12	47	7.96346006663897	4.77068462446567	8.97714648480847	8.2845042272585	6.30991827822652	7.69621263934641	74	80	18.4	23	8.62209360124161	62
"Louisiana State University at Baton Rouge"	"No"	8.69884785922249	8.51579221050061	3079	29	57	9.69701673550917	8.23137604557397	8.68693596600333	7.99967857949945	6.39692965521615	7.71512360363211	83	87	15.9	11	8.81596356085344	37
"Louisiana Tech University"	"No"	7.78197323443438	7.67042852219069	1525	22	45	8.81284343351719	7.5076900778199	8.28324144138542	7.75147531802146	6.42648845745769	7.4121603349452	66	77	20	13	8.42200300441249	45
"Lyndon State College"	"No"	6.28226674689601	6.21860011969173	223	6	20	6.86589107488344	5.01063529409626	8.89836560695536	8.4424696452203	6.21460809842219	6.39692965521615	48	65	12.6	15	8.8698199525084	51
"Mankato State University"	"No"	8.03040956213048	7.89058253465654	1547	9	29	9.17460956202038	7.49108759353488	8.36637030168165	7.87966991460429	6.10924758276437	7.41457288135059	57	68	19	11	8.66578559546606	68
"Mary Washington College"	"No"	8.37793112408273	7.68616230349291	756	39	78	8.00536706731666	6.60123011872888	8.77801780969814	8.50552538654856	6.47697236288968	7.6506445514369	75	80	17.6	30	8.58634605010455	84
"Mayville State University"	"No"	5.4510384535657	5.4510384535657	153	5	12	6.48920493132532	4.06044301054642	8.40871671508015	7.83042561782033	6.39692965521615	7.54960916515453	68	68	15.7	11	8.8495139654864	51
"Mesa State College"	"No"	7.36770857237437	7.28344822875663	891	6	18	8.15219801586179	6.81454289725996	8.52038808231276	8.24222989137223	6.29156913955832	7.72134861261795	48	48	28.8	12	8.26126815057765	59
"Miami University at Oxford"	"No"	9.13118893367075	8.96033936649209	3290	35	39	9.51826615090501	6.69332366826995	9.08885047438847	8.28399930424853	6.21460809842219	7.23128700432762	81	89	17.6	20	8.9677591267695	85
"Michigan State University"	"No"	9.80444039893489	9.62218508704839	6180	23	57	10.1901691246543	8.32360844234357	9.27406606285673	8.22523532410167	6.22257626807137	6.39692965521615	93	95	14	9	9.2610334862917	71
"Michigan Technological University"	"No"	7.87016594646984	7.73543335249969	1032	42	77	8.61685751452918	6.02586597382531	9.0029471307532	8.28853445941392	6.80239476332431	7.09007683577609	82	82	17	25	8.91905180393029	65
"Millersville University of Penn."	"No"	8.70134640303916	8.03106018024062	960	22	60	8.54597499284169	7.33432935030054	8.96750418731624	8.25062008217469	6.10924758276437	7.13727843726039	72	74	16.8	20	8.96597318421035	71
"Mississippi State University"	"No"	8.35585004100747	8.09468364869882	1609	18	57	9.21969646690021	7.39079852173568	9.19684978179368	8.03398273468322	6.17378610390194	7.2991214627108	77	77	15.9	20	8.73600738456922	53
"Mississippi University for Women"	"No"	6.17378610390194	6.00388706710654	380	19	46	7.42237370098682	6.92165818415113	8.38617292897783	7.70391020961631	6.39692965521615	7.3132203870903	49	54	15.8	8	8.64892296209413	63
"Missouri Southern State College"	"No"	7.36264527041782	7.18992217074581	913	13	50	8.21311069759668	7.69621263934641	8.25322764558177	7.95577578153419	5.29831736654804	5.99146454710798	52	54	20.3	9	8.33615081612066	100
"Montana College of Mineral Sci. & Tech."	"No"	6.3491389913798	6.29894924685594	320	45	72	7.29301767977278	6.03068526026126	8.71160799589757	8.13153071060425	6.30991827822652	7.24422751560335	71	71	16.4	31	8.71800933084636	74
"Montana State University"	"No"	8.1605182474775	7.95014988765202	1779	15	42	9.07452064883365	6.90073066404517	8.62191350218664	8.21878715560148	6.30991827822652	7.74066440191724	75	83	17.6	8	8.75210719832936	37
"Montclair State University"	"No"	8.56025268087669	7.66293785046154	865	19	53	8.76577054398726	8.06652149046999	8.20193435119422	8.48342956126343	6.5510803350434	6.85646198459459	82	87	21.5	9	8.81239690526686	58
"Moorhead State University"	"No"	7.80057265467065	7.67971363996637	1189	12	37	8.69667739339003	6.98007594056176	8.39525152061099	7.88758403166028	6.39692965521615	6.90775527898214	76	81	18.1	19	8.47532898731754	60
"Murray State University"	"No"	7.70751219460034	7.55485852104068	1190	29	55	8.6941671418836	6.86171134048073	8.46337038471873	8.04237800517328	6.5510803350434	6.84587987526405	72	76	20.2	27	8.69483715865908	52
"New Jersey Institute of Technology"	"No"	7.53849499941346	7.10332206252611	483	27	62	8.10500553754725	7.40610338123702	9.08613676851688	8.58969988220299	6.5510803350434	7.52294091807237	92	98	13.5	19	9.43580123624555	72
"New Mexico Institute of Mining and Tech."	"No"	6.6682282484174	6.39859493453521	233	40	73	6.92461239604856	6.01859321449623	8.58969988220299	8.07527154629746	6.39692965521615	7.00306545878646	99	100	13.7	11	9.13140538388804	34
"North Adams State College"	"No"	7.35436233042148	6.91274282049318	240	1	19	7.22983877815125	4.91265488573605	8.62011072542292	8.37332282099653	6.21460809842219	6.90775527898214	65	71	14.2	17	8.78905071352105	57
"North Carolina A. & T. State University"	"No"	8.47824444127766	8.03560269291858	1429	12	33	8.72615667915661	6.7696419768525	8.82555985506085	7.48436864328613	6.39692965521615	7.40913644392013	72	72	16.7	9	8.86644061952617	44
"North Carolina State University at Raleigh"	"No"	9.27181169406428	8.8627667422838	3176	39	78	9.71141864428729	8.60904284504612	9.03598698483141	8.78569244445124	6.39692965521615	7.17011954344963	92	98	17.5	21	9.17678358844734	62
"North Dakota State University"	"No"	7.99564360428727	7.7393592026891	1610	13	47	8.90490157793514	7.028201432058	8.67145815042767	7.91717198884578	6.39692965521615	7.60090245954208	79	83	17	24	8.74989095553526	42
"Northeast Missouri State University"	"No"	8.70615929092886	8.42879904065364	1620	36	72	8.6376393444921	5.5834963087817	8.48797033273933	8.13622555490846	5.99146454710798	7.00306545878646	69	72	15.7	13	8.79497643168877	76
"Northern Arizona University"	"No"	8.68118104152169	8.50329708622413	1973	23	48	9.32803451479283	7.89431806384162	8.8167050156216	8.22362717580548	6.42971947803914	7.75876054415766	78	83	21.7	7	8.72534492491121	41
"Northern Illinois University"	"No"	9.27855961095333	8.88447171813916	2397	12	37	9.60413767521666	7.59034694560257	8.9617507993305	8.10046489102936	6.1527326947041	7.46737106691756	73	78	17.3	11	8.71374633045692	56
"Northwest Missouri State University"	"No"	7.91169052070834	7.83794891602528	1257	8	29	8.47365918939251	6.15697898558556	8.22550309756692	8.0507033814703	5.52146091786225	7.39633529380081	62	65	21.7	23	8.57243866564222	54
"Oakland University"	"No"	8.01994168767737	7.85593219971861	1173	16	56	8.77043908654689	8.28953948462414	9.11756697182383	8.30152165494073	5.99146454710798	6.47697236288968	88	90	19.7	13	8.80041533314592	53
"Ohio University"	"No"	9.30773927796332	9.02376980089281	3183	21	54	9.60649561075857	7.1777824161952	8.93971205409023	8.31752199628717	6.30991827822652	7.74066440191724	79	87	20.4	13	9.08375621986673	64
"Oklahoma State University"	"No"	8.41670965283791	8.27205962221041	2181	29	57	9.45954145760968	7.41336733569524	8.58223158759546	8.11492297420459	6.68461172766793	8.03915739047324	84	92	15.3	14	8.769196271411	48
"Pembroke State University"	"No"	6.8501261661455	6.65157187358973	440	14	34	7.68432406768116	6.2709884318583	8.75778365633417	7.9229859587112	6.30991827822652	7.31188616407716	77	77	15	5	8.77074954913864	48
"Pennsylvania State Univ. Main Campus"	"No"	9.86863727510038	9.24416192045169	3450	48	93	10.272910889297	7.61332497954064	9.27284557732758	8.30893825259578	6.23832462503951	7.78072088611792	77	96	18.1	19	9.10409057213347	63
"Peru State College"	"No"	6.55250788703459	6.21660610108486	458	10	40	6.86589107488344	6.12468339089421	7.85554467791566	7.87245515006398	6.21460809842219	6.80239476332431	48	100	20.1	24	8.49084921607663	44
"Prairie View A. and M. University"	"No"	7.78530518253986	7.71154897962915	1061	10	22	8.42595471098197	6.10479323241498	8.36404201192206	8.1605182474775	6.39359075395063	7.3664451483276	55	93	19.4	1	8.69399956752208	35
"Purdue University at West Lafayette"	"No"	9.98984871818417	9.83862898018763	5874	29	60	10.1740107498971	8.31016902198191	9.1649245084457	8.29154650988391	6.3456363608286	6.96602418710611	86	86	18.2	15	9.05998249038762	67
"Radford University"	"No"	8.64857226947262	8.49576524400262	1742	15	37	8.9967757954423	6.15697898558556	8.80747188971528	8.32117830749028	6.21460809842219	6.80239476332431	73	83	19.6	9	8.41604600941128	62
"Ramapo College of New Jersey"	"No"	7.64396194900253	6.86380339145295	362	6	29	7.91753635394363	7.56941179245071	8.40043463080604	8.48879371689454	6.39692965521615	7.41155628781116	74	95	17.8	8	8.9001399880938	47
"Rowan College of New Jersey"	"No"	8.24800570160062	7.26612877955645	695	21	70	8.57602797713713	8.27944348771267	8.37930948405285	8.48260174664662	6.68461172766793	6.68461172766793	76	81	22.1	6	8.88903257187474	51
"Rutgers at New Brunswick"	"No"	10.7809127081884	10.1784642524904	4520	36	79	9.97119292889014	8.21932609390609	8.91058571829013	8.46547875572956	6.5366915975913	7.60539236481493	90	95	19.5	19	9.25665127483943	77
"Rutgers State University at Camden"	"No"	8.12148037475075	7.46851327149634	232	27	79	7.85748078694253	7.17011954344963	8.91072066195136	8.46547875572956	6.5366915975913	7.60539236481493	90	95	18.6	12	9.22365138603585	57
"Rutgers State University at Newark"	"No"	8.66302363962778	7.89729647259588	499	26	62	8.29529885950246	7.5422134631934	8.91058571829013	8.46547875572956	6.5366915975913	7.60539236481493	90	95	17.4	16	9.38244322857581	58
"Saint Cloud State University"	"No"	8.28677323113125	8.10349427838097	1921	10	34	9.34949343336876	7.69893619981345	8.35678966992321	7.87283617502572	5.85793315448346	7.54115245513631	70	75	18.9	10	8.44009614103127	58
"Salisbury State University"	"No"	8.3466420902212	7.73630709654828	736	20	52	8.3654396361887	6.93439720992856	8.54286093816481	8.45318786144033	6.39692965521615	7.27931883541462	73	75	17.9	18	8.54188580400661	56
"San Diego State University"	"No"	9.14867771158408	8.85651849701986	2151	20	70	9.70546335201488	8.62155320674048	9.03408040656082	8.53895468319775	6.41673228251233	7.78322401633604	87	93	19.5	7	8.97840831462889	41
"Shippensburg University of Penn."	"No"	8.66871183905515	8.0959035329611	1116	14	53	8.56940606286317	5.7037824746562	8.96750418731624	8.16166045205628	6.10924758276437	7.43838353004431	80	83	18.8	13	8.81269461292015	72
"South Dakota State University"	"No"	7.93987157636188	7.85902697975154	1701	13	37	8.85366542803745	7.0057890192535	8.24564690087386	7.69165682281055	6.21460809842219	7.58578882173203	62	65	15	29	8.53385363230935	67
"Southeast Missouri State University"	"No"	7.73236922228439	7.53369370984863	1408	18	43	8.7876782390395	7.1276936993474	8.45105338891169	8.17188200612782	5.29831736654804	7.67322312112171	75	76	17.1	8	8.68541582383069	45
"Southeastern Oklahoma State Univ."	"No"	6.70686233660275	6.5510803350434	447	20	50	7.99361999482774	6.47850964220857	8.22630598801551	7.87054784450771	6.10924758276437	6.92951677076365	55	59	19.6	9	8.39931015075952	53
"Southern Illinois University at Edwardsville"	"No"	7.83991936001258	7.69393732550927	994	13	40	8.70996000607173	7.84384863815247	8.60739945930239	8.18813341451048	5.39816270151775	7.70345904786717	76	81	16.5	8	8.92239159729586	43
"Southwest Missouri State University"	"No"	8.71899052471085	8.56674497024549	3204	15	37	9.482731125859	8.12385426310591	8.46379241468912	7.85941315469358	6.21460809842219	7.2152399787301	70	75	19.9	11	8.44074401925283	56
"Southwest State University"	"No"	6.95368421087054	6.84374994900622	511	13	33	7.64539769942863	6.30261897574491	8.36287583103188	7.91935619066062	6.39692965521615	7.49554194388426	58	75	16.5	31	8.79346036105272	51
"St. Mary's College of Maryland"	"No"	7.20042489294496	6.54391184556479	285	42	73	7.18159194461187	5.34233425196481	8.8246778911642	8.46168048148598	6.51471269087253	7.13089883029635	84	89	11.6	23	9.24541789858888	63
"Stockton College of New Jersey"	"No"	8.2987883944492	7.36454701425564	710	23	65	8.3813734682737	6.63987583382654	8.01961279440027	8.37816098272068	6.56667242980324	7.02553831463852	78	92	19.5	7	8.63034328934889	64
"SUNY at Albany"	"No"	9.51251689057842	9.12674134809987	1843	16	61	9.22700081286929	7.11558212618445	8.7872203286293	8.3790798892866	6.5510803350434	7.35244110024358	93	96	17.4	16	9.11327865913305	74
"SUNY at Binghamton"	"No"	9.57934894307373	8.7268056084461	1757	60	94	9.05298456119998	6.50876913697168	8.7872203286293	8.43337670532313	6.5510803350434	6.90775527898214	83	100	18	15	8.99404829561107	80
"SUNY at Buffalo"	"No"	9.61840210593161	9.17460956202038	3087	36	100	9.54416625294219	8.04686951095958	8.7872203286293	8.46189187563115	6.56244409369372	6.86380339145295	90	97	13.6	15	9.32161337438561	56
"SUNY at Stony Brook"	"No"	9.43444346278509	8.84922702143852	1724	27	66	9.18440698994968	7.2086003379602	8.7872203286293	8.45786772533142	6.39692965521615	7.09007683577609	91	96	10.5	7	9.52551600873689	57
"SUNY College  at Brockport"	"No"	8.89480737136862	8.1786387885907	904	7	34	8.65834547117212	7.21744343169653	8.7872203286293	8.40290404501411	6.21460809842219	6.55819780281227	79	83	19	14	8.79966169681513	49
"SUNY College  at Oswego"	"No"	8.98719682066197	8.42420032456707	1464	17	70	8.84548923675327	6.76734312526539	8.7872203286293	8.47845236309981	6.21460809842219	7.3132203870903	69	85	22	21	8.57168137670031	63
"SUNY College at Buffalo"	"No"	8.57885257180297	8.16479480424477	1025	8	29	8.93931874041751	7.64539769942863	8.7872203286293	8.3039999709552	6.30991827822652	7.11476944836646	71	78	18.7	12	8.92412389168601	42
"SUNY College at Cortland"	"No"	8.97309789628247	8.16593213732158	1036	6	40	8.51939077495972	5.84643877505772	8.7872203286293	8.45105338891169	6.44571981938558	7.14991683613211	82	85	17.8	17	8.62389281007529	53
"SUNY College at Fredonia"	"No"	8.49228555571005	7.93666015522543	814	13	48	8.3243363327069	5.6970934865054	8.7872203286293	8.39389497507174	6.42971947803914	7.3004728142678	82	90	16.3	10	8.77059432989114	66
"SUNY College at Geneseo"	"No"	9.05928489705623	8.42551640284433	1143	56	93	8.52912176228151	4.98360662170834	8.7872203286293	8.33567131479285	6.39692965521615	6.47697236288968	79	84	19.1	25	8.65102453904976	76
"SUNY College at New Paltz"	"No"	9.03586793012563	8.19118600464279	656	19	53	8.44634145044429	7.29844510150815	8.7872203286293	8.352318548226	6.30991827822652	7.3132203870903	85	93	15.3	8	8.79603631520081	53
"SUNY College at Plattsburgh"	"No"	8.6213730103259	8.18395571730495	853	9	40	8.5179928715868	6.16331480403464	8.7872203286293	8.33710912956247	6.39692965521615	7.22983877815125	80	90	17.9	16	8.7281022050621	65
"SUNY College at Potsdam"	"No"	8.05515773181968	7.73587031995257	650	16	51	8.18813341451048	5.4553211153577	8.8305430106166	8.44677072711969	6.21460809842219	6.90775527898214	71	75	15.1	17	8.76966250811227	59
"SUNY College at Purchase"	"No"	7.6586995582683	7.1420365747068	390	5	33	7.81520706218909	7.27309259599952	8.7872203286293	8.46800294722547	7.02553831463852	7.21670948670946	80	100	14.9	8	9.00822418785405	46
"Texas A&M Univ. at College Station"	"No"	9.58010921542607	9.26093842473927	6392	49	85	10.3622722340745	7.93666015522543	8.54286093816481	8.13505390861157	6.39692965521615	7.67042852219069	89	91	23.1	29	9.04440384443155	69
"Texas A&M University at Galveston"	"No"	6.2709884318583	6.17586727010576	243	22	47	7.09506437728713	4.89783979995091	8.48879371689454	8.04622910107538	6.39692965521615	6.47697236288968	103	88	17.4	16	8.76639427704974	43
"Texas Southern University"	"No"	8.37678103769949	8.08487062913819	2604	15	85	8.62766064444221	8.03947991910045	8.96954188542325	8.11969625295725	6.39692965521615	7.43838353004431	65	75	18.2	21	8.19007704971905	10
"The Citadel"	"No"	7.3132203870903	7.12447826249342	611	12	36	7.61283103040736	5.67675380226828	8.86361575889062	7.79934339821592	5.99146454710798	6.65801104587075	95	94	17.1	17	8.95467362895641	84
"Trenton State College"	"No"	8.52555810774787	7.74586822979227	944	55	94	8.55004752828718	6.80461452006262	8.59248617545167	8.59618919764273	6.5510803350434	6.90775527898214	81	87	14.4	6	9.04829192002178	81
"Univ. of Wisconsin at OshKosh"	"No"	8.47637119689598	7.97246601597457	1515	14	48	8.9572529442889	7.29437729928882	8.83550145740978	7.78072088611792	6.24997524225948	7.54433210805369	73	78	19.2	14	8.68287710705717	56
"University of Alabama at Birmingham"	"No"	7.49387388678356	7.13886699994552	938	24	35	8.84793475332846	8.45489216521886	8.39840965542627	8.55159461813357	6.62007320653036	7.69621263934641	96	96	6.7	16	9.70210549300343	33
"University of Arkansas at Fayetteville"	"No"	8.081784206935	8.04173471148754	2133	25	65	9.20813794842098	7.33302301438648	8.52277756971014	8.10167774745457	6.21460809842219	7.60090245954208	73	89	14.8	10	8.82761475083751	39
"University of California at Berkeley"	"No"	9.89711730552829	9.01821087419114	3215	95	100	9.87980942518155	7.63094658089046	9.36288977043647	8.73969653784302	6.45519856334012	7.56682847920833	93	97	15.8	10	9.5410100922274	78
