"Private"	"Apps"	"Accept"	"Enroll"	"Top10perc"	"Top25perc"	"F.Undergrad"	"P.Undergrad"	"Outstate"	"Room.Board"	"Books"	"Personal"	"PhD"	"Terminal"	"S.F.Ratio"	"perc.alumni"	"Expend"	"Grad.Rate"
"Allentown Coll. of St. Francis de Sales"	"Yes"	7.07242190053737	6.65929391968364	290	38	64	7.02997291170639	6.45833828334479	9.17884970488481	8.47324130388705	6.39692965521615	6.90775527898214	60	84	13.3	21	8.97966855424118	74
"Alma College"	"Yes"	7.14440718032114	6.98471632011827	385	44	73	7.17472430983638	3.3322045101752	9.43922739791746	8.42332197580617	5.99146454710798	5.99146454710798	79	87	15.3	32	9.13830716907635	68
"Alverno College"	"Yes"	6.20253551718792	5.74620319054015	157	23	46	7.18311170174328	7.11882624906208	9.03025631012242	8.19973896063079	6.47697236288968	7.80343505695217	36	69	11.1	26	9.0029471307532	55
"American International College"	"Yes"	7.25841215059531	6.99668148817654	220	9	22	6.92559519711047	5.65948221575962	9.07107830464268	8.4721958254855	6.10924758276437	7.24422751560335	78	84	14.7	19	8.90313563303554	69
"Amherst College"	"Yes"	8.36683530982767	6.89972310728487	418	83	96	7.37337430991005	1.6094379124341	9.89141497130186	8.57546209954021	6.49223983502047	7.37650812632622	93	98	8.4	63	9.97226706793095	100
"Anderson University"	"Yes"	7.10332206252611	6.81124437860129	423	19	40	7.50604217851812	5.63835466933375	9.22029070282935	8.16621626859214	6.30991827822652	7.00306545878646	48	61	12.1	14	8.98644653927127	59
"Andrews University"	"Yes"	7.02997291170639	6.55677835615804	322	14	23	7.36897040219479	5.78689738136671	9.20994029195484	8.03592636989179	6.80239476332431	7.18538701558042	62	66	11.5	18	9.29725174396548	46
"Antioch University"	"Yes"	6.5694814204143	6.49375383985169	252	25	44	6.56807791141198	3.13549421592915	9.6470457158204	8.11252776347864	5.99146454710798	7.00306545878646	69	82	11.3	35	10.6672329819416	48
"Aquinas College"	"Yes"	6.4281052726846	6.24610676548156	219	20	51	7.13169851046691	6.64248680136726	9.32438308801684	8.32457884513685	5.85793315448346	7.38709023565676	55	65	12.7	25	8.79239774235691	65
"Arkansas College (Lyon College)"	"Yes"	6.56244409369372	5.8111409929767	166	46	74	6.27287700654617	5.2040066870768	9.06462071762678	8.27435700675629	6.21460809842219	6.68461172766793	79	88	12.6	24	9.58733741610482	54
"Assumption College"	"Yes"	7.66622192566273	7.43838353004431	491	23	59	7.44307837434852	6.53524127101366	9.39266192877014	8.68609172787805	6.21460809842219	6.21460809842219	93	93	13.8	30	8.86785006302941	88
"Augsburg College"	"Yes"	6.49526555593701	6.24027584517077	257	12	30	7.63723438878947	6.5875500148248	9.3844617322048	8.38297584929643	6.29156913955832	6.85646198459459	65	65	12.8	31	8.96648377906443	58
"Augustana College"	"Yes"	6.63463335786169	6.58617165485467	306	21	58	7.19818357710194	5.7037824746562	9.30474104739767	8.0845624152353	6.39692965521615	6.92853781816467	66	70	10.4	30	8.83506493503108	69
"Augustana College IL"	"Yes"	7.53849499941346	7.41336733569524	497	36	69	7.57558465155779	3.63758615972639	9.49949635768396	8.33639048059155	6.29156913955832	6.71052310945243	78	83	12.7	40	9.12913031655064	71
"Austin College"	"Yes"	6.85435450225502	6.68210859744981	295	42	74	7.02108396428914	2.70805020110221	9.33078652505205	8.37609035043824	5.99146454710798	7.0475172213573	81	95	13	33	9.3379417165699	71
"Averett College"	"Yes"	6.44094654063292	6.32076829425058	172	16	40	6.65544035036765	6.28785856016178	9.20281210555539	8.32724260745779	6.62007320653036	7.20785987143248	59	67	22.4	11	8.7830896717961	48
"Baker University"	"Yes"	6.40025744530882	6.18001665365257	206	21	47	6.86484777797086	6.14418563412565	9.06184036365774	8.3187422526924	5.99146454710798	7.71868549519847	58	68	11	21	8.72192834304709	65
"Baldwin-Wallace College"	"Yes"	7.43248380791712	7.21964204013074	662	30	61	7.90765159471109	7.28619171470238	9.30519590298886	8.39162996844089	6.90775527898214	6.90775527898214	68	74	17.6	20	8.99788945020072	85
"Barat College"	"Yes"	5.56452040732269	5.25749537202778	111	15	36	6.11589212548303	5.5834963087817	9.17884970488481	8.36637030168165	6.21460809842219	6.21460809842219	57	77	9.7	35	9.14174028048393	71
"Bard College"	"Yes"	7.55485852104068	6.73101810048208	285	50	85	6.91174730025167	2.70805020110221	9.86599334810855	8.73327184500832	6.62007320653036	6.62007320653036	98	98	10.4	30	9.53921237125283	79
"Barnard College"	"Yes"	7.82244472948932	7.24565506759454	531	53	95	7.65964295456468	4.23410650459726	9.79400745191731	9.00257792270028	6.39692965521615	6.74523634948436	83	93	10.3	33	9.43986353025443	91
"Barry University"	"Yes"	6.89770494312864	6.66440902035041	279	18	45	7.50163445788341	8.0532511535491	9.33167265714371	8.58671925406485	6.39692965521615	7.49554194388426	76	78	12.6	11	9.11426990322545	72
"Baylor University"	"Yes"	8.71193726820875	8.58466490653125	2367	34	66	9.20220738874599	6.18208490671663	8.77183540978982	8.27384693278451	6.39692965521615	7.20489251020467	71	76	18.5	38	8.92305821954573	72
"Beaver College"	"Yes"	7.05875815251866	6.74523634948436	348	23	56	6.77764659363512	6.25190388316589	9.46109909032337	8.59415423255237	5.99146454710798	6.68461172766793	78	89	12.2	30	9.09985563880091	73
"Bellarmine College"	"Yes"	6.69332366826995	6.56103066589657	308	39	63	7.08840877867539	6.40522845803084	9.08704215563169	7.98956044933387	6.62007320653036	7.16239749735572	74	82	13.1	31	8.80507524387068	84
"Belmont Abbey College"	"Yes"	6.44888939414686	6.20253551718792	129	17	36	6.56385552653213	4.87519732320115	9.10497985631836	8.48673398393153	5.7037824746562	7.81601383915903	78	85	13.2	10	8.92930284224307	52
"Belmont University"	"Yes"	7.1066061377273	6.88141130364254	481	28	67	7.58273848891441	6.43454651878745	8.96187901267768	8.20631072579402	6.47697236288968	6.80239476332431	61	61	11.1	19	8.93774393694244	49
"Beloit College"	"Yes"	7.18538701558042	6.82762923450285	284	26	54	6.98933526597456	4.39444915467244	9.69916575546251	8.19312372151207	5.87211778947542	6.57228254269401	87	95	11.1	26	9.46939146162881	69
"Benedictine College"	"Yes"	6.44888939414686	6.42971947803914	222	14	24	6.55393340402581	6.21660610108486	9.16429643347478	8.25582842728183	5.85793315448346	5.52146091786225	64	84	14.1	18	8.68642950866154	58
"Bennington College"	"Yes"	6.25190388316589	5.78996017089725	114	25	53	6.12468339089421	0.693147180559945	9.98506753952855	8.3187422526924	6.39692965521615	6.21460809842219	35	59	10.1	33	9.70283907904929	55
"Bentley College"	"Yes"	8.15075647027555	7.75362354655975	640	20	60	8.0375431851187	7.33498187887181	9.5324238711453	8.61431990214696	6.44571981938558	6.74523634948436	87	87	17.5	20	9.30027247947679	82
"Berry College"	"Yes"	7.52725591937378	7.1074254741107	480	37	68	7.39018142822643	3.89182029811063	8.99342737041261	8.27893600229198	5.85793315448346	7.77275271646874	80	80	16.3	17	9.26017760682335	63
"Bethany College"	"Yes"	6.77764659363512	6.70441435496411	200	16	41	6.55961523749324	4.12713438504509	9.07566546864958	8.12058871174027	6.30991827822652	7.43838353004431	62	68	11.6	29	8.95131054209756	48
"Bethel College"	"Yes"	6.21860011969173	5.95064255258773	104	11	28	5.84932477994686	4.30406509320417	8.73230457103318	7.97246601597457	6.39692965521615	6.68461172766793	63	63	11.7	13	8.93892527198827	35
"Bethel College KS"	"Yes"	5.30826769740121	5.21493575760899	122	19	42	6.28599809450886	4.61512051684126	9.05251628678262	8.18311807939475	6.21460809842219	7.24422751560335	61	80	8.8	32	9.02689818751353	56
"Bethune Cookman College"	"Yes"	7.40610338123702	7.0475172213573	542	12	30	7.66293785046154	4.40671924726425	8.55410354543633	8.13035354743124	6.47697236288968	7.82404601085629	48	48	13.8	9	8.82717477136278	58
"Birmingham-Southern College"	"Yes"	6.69084227741856	6.37672694789863	287	67	88	7.22693601849329	5.33271879326537	9.36391945990448	8.37216741936598	5.99146454710798	6.80239476332431	74	79	14	34	9.06519898630651	72
"Blackburn College"	"Yes"	6.21460809842219	5.8171111599632	156	25	55	6.04263283368238	3.29583686600433	8.77955745588373	7.90100705199242	6.21460809842219	6.90775527898214	76	76	14.3	53	9.03324513415381	51
"Bluefield College"	"Yes"	5.93224518744801	5.8805329864007	181	15	30	6.48157712927643	4.85981240436167	8.87486763568805	8.37793112408273	6.10924758276437	7.3132203870903	61	67	17.8	3	8.7417757069247	53
"Bluffton College"	"Yes"	6.53958595561767	6.24222326545517	209	20	50	6.63331843328038	4.39444915467244	9.20029003612268	8.29154650988391	5.99146454710798	6.80239476332431	76	71	13.3	19	9.11305824916963	58
"Boston University"	"Yes"	9.91304176534094	9.47324295306374	3810	45	80	9.61387027544984	8.04334217044161	9.8211923098093	8.82614739914356	6.16331480403464	6.93244789157251	80	81	11.9	16	9.73127472989046	72
"Bowdoin College"	"Yes"	8.1185050675871	6.92657703322272	418	76	100	7.30653139893951	2.07944154167984	9.8537719602902	8.68016201969438	7.30988148582479	6.77422388635761	93	96	11.2	52	9.92559145144305	96
"Bradford College"	"Yes"	6.09356977004514	5.79909265446053	151	5	36	6.11589212548303	3.73766961828337	9.55251062971203	8.74353163362697	6.21460809842219	6.80239476332431	57	80	10.2	21	9.64127827605738	46
"Bradley University"	"Yes"	8.23403420769204	8.13563990335439	1061	30	58	8.41869794466714	6.46614472423762	9.29376198011525	8.39840965542627	7.60090245954208	7.32778053842163	75	81	14.4	21	8.9452022639593	85
"Brandeis University"	"Yes"	8.33950090300594	7.9168074909376	740	48	77	7.94413749111411	4.12713438504509	9.87199688544476	8.81729778386658	6.01615715969835	6.90775527898214	90	97	9.8	24	9.74975345259409	84
"Brenau University"	"Yes"	5.90536184805457	5.61312810638807	158	12	41	6.82110747225646	6.17170059741091	9.16868469670735	8.67914195840225	6.21460809842219	6.5510803350434	71	80	13.7	12	8.68862230704377	49
"Brewton-Parker College"	"Yes"	7.26961674960817	7.11314210870709	1202	10	26	7.18538701558042	6.71174039505618	8.38274709486331	7.77064523412918	6.21460809842219	7.60090245954208	62	62	12.6	10	8.49699048409872	18
"Briar Cliff College"	"Yes"	5.97126183979046	5.86078622346587	155	16	44	6.60394382460047	6.06378520868761	9.23600811872476	8.18785544369562	6.39692965521615	7.3132203870903	39	66	13.1	26	9.03061544102949	58
"Bridgewater College"	"Yes"	6.73101810048208	6.51174532964473	292	22	53	6.78105762593618	4.00733318523247	9.23649532945303	8.46062283992784	6.32793678372919	6.77422388635761	68	73	13.2	24	9.06589246761031	82
"Brigham Young University at Provo"	"Yes"	8.90449432889673	8.59452453435256	4615	48	82	10.2174950501555	7.13329595489607	7.75790620835175	8.18311807939475	6.75693238924755	7.1066061377273	76	76	20.5	40	8.97664130672246	33
"Brown University"	"Yes"	9.44034036408688	8.08301991917133	1462	87	95	8.63817111796914	5.85507192220243	9.8796046120728	8.68710472813351	6.5792512120101	7.00306545878646	99	100	7.6	39	9.92524904431764	97
"Bryn Mawr College"	"Yes"	7.28961052145117	6.69703424766648	313	71	95	6.99209642741589	2.77258872223978	9.8072519446553	8.81729778386658	6.21460809842219	7.09007683577609	100	100	12.3	49	9.76703761939823	89
"Bucknell University"	"Yes"	8.78691493849102	8.24617155985756	862	49	85	8.10651451625519	3.43398720448515	9.82822506803558	8.46589989702869	6.68461172766793	7.09007683577609	95	97	14.2	36	9.52332462729018	93
"Buena Vista College"	"Yes"	6.75693238924755	6.53378883793334	285	32	70	7.56423847517049	6.0913098820777	9.49597034030183	8.2419665602318	6.10924758276437	6.85646198459459	62	69	8.8	10	8.75352933651643	78
"Butler University"	"Yes"	7.76726399675731	7.61923341622681	700	40	68	7.8659554139335	4.99721227376411	9.48265496729684	8.4446224985814	6.21460809842219	7.37775890822787	77	81	10.9	29	9.16020430248239	83
"Cabrini College"	"Yes"	6.39526159811545	6.20253551718792	224	8	28	6.94215670569947	6.10031895202006	9.26084335414929	8.74033674273045	5.7037824746562	5.7037824746562	59	76	16.5	36	8.87024156729927	71
"Caldwell College"	"Yes"	6.91869521902047	6.40357419793482	213	17	42	6.5410299991899	6.76619171466035	9.09380655572023	8.43381158247719	6.05208916892442	6.90775527898214	87	96	13.9	25	8.97739897818186	55
"California Lutheran University"	"Yes"	6.33327962813969	5.50938833662798	247	23	52	7.26332961747684	6.06842558824411	9.46885106712768	8.57546209954021	6.41673228251233	6.35610766069589	72	74	12.4	17	9.10331179921766	60
"Calvin College"	"Yes"	7.48661331313996	7.32118855673948	913	29	56	8.1318247850072	4.91265488573605	9.23307985894567	8.21878715560148	5.99146454710798	7.09837563859079	75	81	14.8	41	8.9600825281704	81
"Campbell University"	"Yes"	7.6434829070772	7.19967834569117	657	20	54	8.06808962627824	7.09340462586877	8.92930284224307	7.93379687481541	6.39692965521615	6.21460809842219	77	77	21.8	34	8.22657347497711	63
"Campbellsville College"	"Yes"	6.7428806357919	6.3750248198281	298	25	55	6.84054652928869	5.21493575760899	8.70946507906336	8.02943284058124	6.39692965521615	7.17011954344963	62	66	17.7	13	8.59248617545167	49
"Canisius College"	"Yes"	7.9561263512135	7.69302574841789	753	16	34	7.99900721324395	6.07304453410041	9.28266103355581	8.58298093195424	5.99146454710798	7.02997291170639	90	92	14.6	26	8.98369068133269	64
"Capital University"	"Yes"	7.46565531013406	7.23128700432762	449	34	66	7.41577697541539	6.86693328446188	9.47654341275084	8.29404964010203	6.21460809842219	6.68461172766793	64	69	12.1	27	9.16502914926618	83
"Capitol College"	"Yes"	4.60517018598809	4.49980967033027	35	10	52	5.64190707093811	5.80211837537706	9.03598698483141	7.94165125293056	5.7037824746562	7.6657534318617	10	50	12.1	24	8.98419231164167	52
"Carleton College"	"Yes"	7.89878235697031	7.36454701425564	489	75	93	7.53369370984863	2.484906649788	9.86744578118886	8.28324144138542	6.30991827822652	6.30991827822652	81	93	10.4	60	9.79590234185619	91
"Carnegie Mellon University"	"Yes"	9.07429152751291	8.55660619377307	1191	60	89	8.35819745992578	5.67332326717149	9.79255599182885	8.64646552712038	6.10924758276437	7.13089883029635	86	93	9.2	31	10.1017644761202	74
"Carroll College"	"Yes"	7.05617528410041	6.89871453432999	352	19	55	7.21303165983487	6.60258789218934	9.40919123072135	8.26359043261732	6.17378610390194	6.8351845861473	74	81	17.8	25	8.9445502459405	79
"Carson-Newman College"	"Yes"	6.99942246750796	6.85751406254539	464	27	62	7.48211892355212	5.47646355193151	9.00577320623491	8.05515773181968	5.99146454710798	6.21460809842219	61	62	13.6	16	8.81224801819743	67
"Carthage College"	"Yes"	7.38770923908104	7.26332961747684	434	20	43	7.24779258176785	6.36302810354046	9.48227408745982	8.23615566168312	6.21460809842219	7.17011954344963	74	89	15.9	22	8.90435854235297	62
"Case Western Reserve University"	"Yes"	8.26281693767093	8.05706068196577	713	71	93	8.02322468471667	6.24027584517077	9.6614159913364	8.46168048148598	6.26339826259162	7.28619171470238	95	95	2.9	29	9.89004764016943	67
"Catawba College"	"Yes"	6.98749024700099	6.77992190747225	291	13	34	6.81892406527552	4.38202663467388	9.1345386585599	8.3187422526924	6.39692965521615	7.52833176670725	75	82	13.5	27	9.03895875522056	55
"Catholic University of America"	"Yes"	7.46965417293213	7.28961052145117	505	24	49	7.67740043051481	5.35185813347607	9.52602664083756	8.7653024887482	6.26530121273771	7.00306545878646	90	96	9.3	18	9.45336497888354	75
"Cazenovia College"	"Yes"	8.25504890275229	8.14118979345769	527	9	35	6.9177056098353	2.484906649788	9.14676139033331	8.48466999971068	6.39692965521615	6.21460809842219	22	47	14.3	20	8.94858592153432	118
"Cedar Crest College"	"Yes"	6.65415252018322	6.4085287910595	198	25	58	6.67329796776765	6.63856778916652	9.57080811415361	8.57262789830434	6.21460809842219	6.90775527898214	58	83	11.7	39	9.30209879721572	74
"Cedarville College"	"Yes"	7.17548971362422	6.99393297522319	616	25	55	7.69439280262942	4.40671924726425	8.90163893230033	8.39162996844089	6.3456363608286	6.90775527898214	50	52	15.3	34	8.83884181343129	64
"Centenary College"	"Yes"	5.91079664404053	5.74300318780948	90	12	46	5.98141421125448	6.26530121273771	9.34136863438259	8.59415423255237	6.21460809842219	6.63331843328038	41	85	9.5	20	9.16774597434376	24
"Centenary College of Louisiana"	"Yes"	6.20455776256869	6.07304453410041	210	35	55	6.65286302935335	3.78418963391826	9.0994088112689	8.15765701519647	6.39692965521615	7.54960916515453	86	92	11.3	25	9.1783335758411	66
"Center for Creative Studies"	"Yes"	6.39859493453521	5.98141421125448	203	1	20	6.26339826259162	5.77765232322266	9.32634404773249	8.80131894766524	7.75790620835175	6.42971947803914	8	58	6.8	4	9.47462586662157	47
"Central College"	"Yes"	7.15695636461564	7.01481435127554	401	31	65	7.2115567333138	3.68887945411394	9.29999824390672	8.20521842639541	6.47697236288968	6.39692965521615	76	90	13.5	29	9.04121140896821	67
"Central Wesleyan College"	"Yes"	5.15905529921453	4.98360662170834	88	8	29	6.95368421087054	3.49650756146648	9.02401079378469	8.03268487596762	6.39692965521615	6.39692965521615	62	62	15.2	18	8.12118324207883	58
"Centre College"	"Yes"	6.92067150424868	6.78897174299217	288	55	82	6.84906628263346	1.94591014905531	9.38008314656328	8.35936910622267	6.39692965521615	6.80239476332431	95	99	11.4	60	9.48174061185368	74
"Chapman University"	"Yes"	6.86589107488344	6.64768837356333	351	23	48	7.41577697541539	5.34233425196481	9.71860271333901	8.68185981297147	6.39692965521615	7.00306545878646	72	80	12.8	6	9.44872715270309	47
"Chatham College"	"Yes"	5.35658627467201	5.28320372873799	91	28	56	6.15485809401642	4.99721227376411	9.51044496442652	8.56216655705897	5.99146454710798	6.74523634948436	95	98	9.3	37	9.68626394373291	52
"Chestnut Hill College"	"Yes"	5.8348107370626	5.53733426701854	126	25	64	6.24997524225948	5.44673737166631	9.24329147211587	8.52018870039604	6.5510803350434	6.74523634948436	71	71	8.3	29	8.95273476710687	73
"Christendom College"	"Yes"	4.39444915467244	4.27666611901606	51	33	71	4.93447393313069	1.09861228866811	9.07452064883365	8.1886891244442	5.99146454710798	6.68461172766793	92	92	9.3	17	9.2985343827121	58
"Christian Brothers University"	"Yes"	6.77992190747225	6.25382881157547	224	16	42	6.97354301952014	5.89715386763674	9.13776967914135	8.08948247436075	6.39692965521615	6.80239476332431	81	81	11.1	24	9.00319319374657	63
"Claflin College"	"Yes"	7.08673793451058	6.54678541076052	499	21	47	6.86589107488344	2.56494935746154	8.39208338037339	7.80791662892641	6.21460809842219	6.90775527898214	69	69	16.9	31	8.86545282575362	21
"Claremont McKenna College"	"Yes"	7.52833176670725	6.64248680136726	227	71	93	6.78784498230958	0	9.74096862303835	8.70118002752925	6.21460809842219	6.74523634948436	99	99	9.6	52	9.82244017368281	87
"Clark University"	"Yes"	7.96797317966293	7.62997570702779	457	30	61	7.56423847517049	5.69035945432406	9.76995615991161	8.34283980427146	6.21460809842219	6.85646198459459	94	95	10.5	35	9.38857023586688	79
"Clarke College"	"Yes"	6.13122648948314	5.82894561761021	167	14	45	6.40357419793482	5.85793315448346	9.28173036806286	8.20958048347558	5.85793315448346	6.80239476332431	67	71	11	27	8.98256109225744	74
"Clarkson University"	"Yes"	7.68432406768116	7.57712193087668	557	35	68	7.75448154747038	3.97029191355212	9.6778408710038	8.62694405537536	6.5510803350434	7.17011954344963	95	95	15.8	32	9.36383369293329	77
"Coe College"	"Yes"	6.91373735065968	6.60934924316738	275	29	60	7.02731451403978	5.32300997913841	9.54144106479549	8.38708450606922	6.21460809842219	7.69621263934641	73	86	12.7	32	9.224341891612	67
"Coker College"	"Yes"	6.40357419793482	6.11368217983223	295	15	47	6.5366915975913	5.40267738187228	9.19907717969747	8.41227702146668	5.99146454710798	6.90775527898214	64	77	12.1	39	9.07577987858049	75
"Colby College"	"Yes"	7.95437227253187	7.18462915271731	456	58	84	7.4500795698075	3.55534806148941	9.84850324420337	8.62873456614915	6.21460809842219	6.90775527898214	83	94	10.2	41	9.67746486047107	91
"Colgate University"	"Yes"	8.48797033273933	7.82084087990734	727	46	75	7.88193748927207	3.2188758248682	9.87868243361716	8.62425226370964	6.21460809842219	6.62007320653036	95	98	10.5	45	9.64820813119185	93
"College Misericordia"	"Yes"	7.26682734752059	6.78897174299217	317	29	58	7.02197642307216	6.20050917404269	9.29284159348793	8.65869275368994	6.30991827822652	6.80239476332431	56	62	12.9	23	9.05998249038762	96
"College of Mount St. Joseph"	"Yes"	6.68210859744981	6.42971947803914	238	14	41	7.0604763659998	7.11639414409346	9.19013766465866	8.39615486303918	5.99146454710798	7.0475172213573	46	46	11.1	35	8.8376812155932	100
"College of Mount St. Vincent"	"Yes"	6.85224256905188	6.47389069635227	177	23	46	6.56103066589657	6.06842558824411	9.37500699353142	8.66042735950215	6.21460809842219	6.90775527898214	75	77	11.9	35	9.21183924809992	83
"College of Notre Dame"	"Yes"	5.8406416573734	5.57594910314632	97	11	42	6.21460809842219	5.80211837537706	9.44145209293957	8.61613313927114	6.44571981938558	7.71868549519847	77	80	10.4	7	9.18737876033884	43
"College of Notre Dame of Maryland"	"Yes"	6.12468339089421	5.87493073085203	177	35	61	6.50279004591562	7.5923661285198	9.32188174670909	8.63408694288774	6.39692965521615	6.5510803350434	64	64	11.5	32	8.91958692099992	75
"College of Saint Benedict"	"Yes"	6.84374994900622	6.76157276880406	511	29	62	7.44716835960004	4.63472898822964	9.41303628802129	8.3478273457825	6.21460809842219	6.39692965521615	70	88	13.1	26	9.08783369748339	72
"College of Saint Catherine"	"Yes"	6.2363695902037	6.01859321449623	186	23	51	7.43366654016617	6.33150184989369	9.4111565114063	8.39840965542627	6.10924758276437	6.90775527898214	63	87	11.5	32	8.89768231345422	77
"College of Saint Elizabeth"	"Yes"	6.09582456243222	5.88332238848828	122	34	53	6.20050917404269	6.87523208727658	9.29651806821724	8.56598335558567	5.94017125272043	6.90775527898214	68	70	11.4	23	9.15345250976914	78
"College of Saint Rose"	"Yes"	6.89060912014717	6.49828214947643	249	23	57	7.43720636687129	6.79570577517351	9.2093398716426	8.64223868039046	6.68461172766793	7.3132203870903	66	71	14.3	28	8.71341765337918	64
"College of Santa Fe"	"Yes"	6.30261897574491	6.10255859461357	189	16	42	6.7719355558396	6.52649485957079	9.31811796414961	8.32796785830549	6.39692965521615	7.09007683577609	40	74	14	7	9.08477714900084	80
"College of St. Joseph"	"Yes"	4.94875989037817	4.77068462446567	55	12	21	5.30330490805908	5.15329159449778	9.02401079378469	8.48673398393153	6.10924758276437	7.17011954344963	53	53	9.5	19	8.84448051846038	76
"College of St. Scholastica"	"Yes"	6.51025834052315	6.39024066706535	278	29	60	7.20785987143248	5.61677109766657	9.37957668922148	8.21500643276157	6.10924758276437	7.04403289727469	54	76	11.6	33	9.10453531307921	72
"College of the Holy Cross"	"Yes"	8.00436556497957	7.43307534889858	659	70	95	7.89170465933011	3.09104245335832	9.7981270368783	8.74830491237962	5.99146454710798	6.80239476332431	92	96	11.3	55	9.4040963063958	95
"College of Wooster"	"Yes"	7.64969262371151	7.54062152865715	553	29	65	7.44073370738926	0	9.69523261371567	8.45318786144033	6.21460809842219	6.21460809842219	84	96	11.1	43	9.55676293945056	69
"Colorado College"	"Yes"	8.07309119969315	7.36327958696304	490	56	87	7.54538974961182	1.94591014905531	9.74928687145883	8.34045601291618	6.10924758276437	7.09007683577609	85	97	11.3	51	9.59315078951954	84
"Columbia College"	"Yes"	6.60258789218934	6.41999492814714	242	21	67	6.87523208727658	5.46806014113513	9.251962046667	8.28778002708843	6.21460809842219	7.3132203870903	61	77	14.7	34	9.07027338307906	76
"Columbia College MO"	"Yes"	5.74939298590825	5.06259503302697	132	10	28	6.5366915975913	8.58410389669886	9.02328764080633	8.21608809863232	5.99146454710798	6.80239476332431	87	87	15.3	2	8.52018870039604	37
"Columbia University"	"Yes"	8.81818627792769	7.56527528189893	871	78	96	8.12444685571585	4.00733318523247	9.83220635053116	8.80447518384668	6.30991827822652	5.7037824746562	97	98	5.9	21	10.3300289862462	99
"Concordia College at St. Paul"	"Yes"	5.63835466933375	5.5834963087817	139	13	29	6.9555926083963	5.19849703126583	9.25913053614561	8.22951111896446	6.10924758276437	6.85646198459459	69	75	12.8	18	8.84721610435754	45
"Concordia Lutheran College"	"Yes"	5.44673737166631	5.37527840768417	106	16	34	6.2803958389602	5.14749447681345	8.83927669058535	8.24275634571448	6.10924758276437	7.50933526601659	67	76	12.1	9	8.83564692253477	42
"Concordia University"	"Yes"	6.26909628370626	5.99893656194668	186	22	56	7.06304816338817	4.97673374242057	9.12869638293567	8.34069464792507	5.99146454710798	6.90775527898214	56	64	12.1	13	8.89686174448039	75
"Concordia University CA"	"Yes"	6.53378883793334	6.20859002609663	144	30	75	6.46302945692067	4.61512051684126	9.28730141311231	8.39840965542627	6.3456363608286	7.32317071794347	55	60	13.1	13	9.03777110662491	55
"Connecticut College"	"Yes"	8.0179667034936	7.34342622914737	438	42	93	7.39633529380081	5.44673737166631	9.83841555579241	8.74830491237962	6.39692965521615	6.21460809842219	86	95	10.7	40	9.60055646932161	91
